case-sensitive code,name (display),category,synonyms,LOINC property,Guidance,source
[ppb],parts per billion,Clinical,ppb; 10^-9,MCnt; MCnc; SFr,"[ppb] is often used in solution concentrations as 1 ug/L  or 1 ug/kg. Also used to express mole fractions as 1 umol/mol.

Can be ambigous and would be better if the metric units was used directly. ",UCUM
[ppm],parts per million,Clinical,ppm; 10^-6,MCnt; MCnc; SFr,"[ppm] is often used in solution concentrations as 1 mg/L  or 1 mg/kg. Also used to express mole fractions as 1 mmol/mol.

[ppm] is also used in nuclear magnetic resonance (NMR) to represent chemical shift - the difference of a measured frequency in parts per million from the reference frequency.

Can be ambigous and would be better if the metric units was used directly. ",UCUM
[ppth],parts per thousand,Clinical,ppth; 10^-3,MCnc; MCnt,"[ppth] is often used in solution concentrations as 1 g/L or 1 g/kg.

Can be ambigous and would be better if the metric units was used directly. ",UCUM
[pptr],parts per trillion,Clinical,pptr; 10^-12,MCnt; MCnc; SFr,"[pptr] is often used in solution concentrations as 1 ng/L or 1 ng/kg. Also used to express mole fractions as 1 nmol/mol.

Can be ambigous and would be better if the metric units was used directly. ",UCUM
[PRU],peripheral vascular resistance unit,Clinical,peripheral vascular resistance units; peripheral resistance unit; peripheral resistance units; PRU,FldResist,used to assess blood flow in the capillaries; equal to 1 mmH.min/mL = 133.3 Pa·min/mL,UCUM
[psi],pound per square inch,Clinical,psi; lb/in2; lb per in2,Pres,,UCUM
[pt_br],pint - British,Clinical,British pints; imperial pints; pt br; br pt; imp pt; pt imp,Vol,Used only in Great Britain and other Commonwealth countries,UCUM
[pt_us],pint - US,Clinical,US pints; pint US; liquid pint; pt us; us pt,Vol,Used only in the US,UCUM
[pwt_tr],pennyweight - troy,Obsolete,dwt; denarius weights,Mass,historical unit used to measure mass and cost of precious metals,UCUM
[qt_br],quart - British,Clinical,British quarts; imperial quarts; br qts,Vol,Used only in Great Britain and other Commonwealth countries,UCUM
[qt_us],quart - US,Clinical,US quarts; us qts,Vol,Used only in the US,UCUM
[rch_us],Ramden's chain - US,Obsolete,Ramsden's chain; engineer's chains,Len,distance measuring device used for land survey,UCUM
[rd_br],rod - British,Obsolete,British rods; br rd,Len,,UCUM
[rd_us],rod - US,Obsolete,US rod; US rods; rd US; US rd,Len,,UCUM
[rlk_us],link for Ramden's chain - US,Obsolete,links for Ramsden's chain,Len,,UCUM
[S],Svedberg unit,Clinical,Sv; 10^-13 seconds; 100 fs; 100 femtoseconds,Time,"unit of time used in measuring particle's sedimentation rate, usually after centrifugation. ",UCUM
[sc_ap],scruple,Obsolete,scruples; sc ap,Mass,,UCUM
[sct],section,Nonclinical,sct; sections,Area,tract of land approximately equal to 1 mile square containing 640 acres,UCUM
[scwt_av],short hundredweight,Nonclinical,hundredweights; s cwt; scwt; avoirdupois,Mass,Used only in the US to equal 100 pounds,UCUM
[sft_i],square foot,Clinical,ft2; ft^2; ft squared; sq ft; feet; international,Area,standard unit used in the US and internationally,UCUM
[sin_i],square inch,Clinical,in2; in^2; inches squared; sq inch; inches squared; international,Area,standard unit used in the US and internationally,UCUM
[smgy'U],Somogyi unit,Clinical,Somogyi units; smgy U,CAct,measures the enzymatic activity of amylase in blood serum - better to use base units mg/mL ,UCUM
[smi_us],square mile - US,Nonclinical,mi2; mi^2; sq mi; miles squared,Area,"historical unit used only in the US for land survey purposes (based on the US survey mile), not the internationally recognized [mi_i]",UCUM
[smoot],Smoot,Nonclinical,,Len,prank unit of length from MIT,UCUM
[srd_us],square rod - US,Nonclinical,rod2; rod^2; sq. rod; rods squared,Area,"Used only in the US to measure land area, based on US statute land survey length units",UCUM
[ston_av],short ton - US,Clinical,ton; US tons; avoirdupois tons,Mass,Used only in the US,UCUM
[stone_av],stone - British,Nonclinical,British stones; avoirdupois,Mass,Used primarily in the UK and Ireland to measure body weight,UCUM
[syd_i],square yard,Clinical,yd2; yd^2; sq. yds; yards squared; international,Area,standard unit used in the US and internationally,UCUM
[tbs_m],tablespoon - metric,Clinical,metric tablespoons; Tbs;  tbsp; T; tbs m,Vol,standard unit used in the US and internationally,UCUM
[tbs_us],tablespoon - US,Clinical,Tbs;  tbsp; tbs us; US tablespoons,Vol,unit defined as 0.5 US fluid ounces or 3 teaspoons - used only in the US. See [tbs_m] for the unit used internationally and in the US for nutrional labelling. ,UCUM
[tb'U],tuberculin unit,Clinical,TU; units,Arb,amount of tuberculin antigen -usually in reference to a TB skin test ,UCUM
[TCID_50],50% tissue culture infectious dose,Clinical,TCID50; 50% tissue culture infective dose,NumThres,,UCUM
[todd'U],Todd unit,Clinical,units,InvThres; RtoThres,the unit for the results of the testing for antistreptolysin O (ASO),UCUM
[tsp_m],teaspoon - metric,Clinical,tsp; t; metric teaspoons,Vol,standard unit used in the US and internationally,UCUM
[tsp_us],teaspoon - US,Nonclinical,tsp; t; US teaspoons,Vol,unit defined as 1/6 US fluid ounces - used only in the US. See [tsp_m] for the unit used internationally and in the US for nutrional labelling. ,UCUM
[twp],township,Nonclinical,twp; townships,Area,land measurement equal to 6 mile square,UCUM
[USP'U],United States Pharmacopeia unit,Clinical,USP U; USP'U,Arb,a dose unit to express potency of drugs and vitamins defined by the United States Pharmacopoeia; usually 1 USP = 1 IU,UCUM
[wood'U],Wood unit,Clinical,hybrid reference units; HRU; mmHg.min/L; vascular resistance,Pres,simplified unit of measurement for for measuring pulmonary vascular resistance that uses pressure; equal to mmHg.min/L,UCUM
[yd_br],yard - British,Obsolete,British yards; Br yds; distance,Len,,UCUM
[yd_i],yard,Clinical,international yards; yds; distance,Len,standard unit used in the US and internationally,UCUM
[yd_us],yard - US,Obsolete,US yards; us yds; distance,Len; Nrat,"Better to use [yd_i] which refers to the length used worldwide, including in the US; [yd_us] refers to unit used in land surveys in the US",UCUM
{#}/[HPF],number per high power field,Clinical,#/HPF; # per HPF; number/HPF; numbers per high power field,Naric,,LOINC
{#}/[LPF],number per low power field,Clinical,#/LPF; # per LPF; number/LPF; numbers per low power field,Naric,,LOINC
{APS'U},IgA antiphosphatidylserine unit ,Clinical,APS Unit; Phosphatidylserine Antibody IgA Units,ACnc,unit for antiphospholipid test,LOINC
{EIA_index},EIA index,Clinical,enzyme immunoassay index,ACnc,,LOINC
{KCT'U},kaolin clotting time,Clinical,KCT,Time,sensitive test to detect lupus anticoagulants; measured in seconds,LOINC
{MPS'U},IgM antiphosphatidylserine unit,Clinical,Phosphatidylserine Antibody IgM Measurement ,ACnc,,LOINC
10*,the number ten for arbitrary powers,Clinical,10^; 10 to the arbitrary powers,Num,"10* by itself is the same as 10, but users can add digits after the *. For example, 10*3 = 1000.",UCUM
10*12/L,trillion per liter,Clinical,10^12/L; 10*12 per Liter; trillion per liter; litre,NCncn,,LOINC
10*3,10^3 (used for cell count),Clinical,10^3; thousand,Num,usually used for counting entities (e.g. blood cells) per volume,LOINC
10*3/L,thousand per liter,Clinical,10^3/L; 10*3 per liter; litre,NCncn,,LOINC
10*3/mL,thousand per milliliter,Clinical,10^3/mL; 10*3 per mL; thousand per milliliter; millilitre,NCncn,,LOINC
10*3/uL,thousand per microliter,Clinical,10^3/uL; 10*3 per uL; thousand per microliter; microlitre,NCncn,,LOINC
10*4/uL,10 thousand per microliter,Clinical,10^4/uL; 10*4 per uL; microlitre,NCncn,,LOINC
10*5,10^5 ,Clinical,one hundred thousand,Num,,LOINC
10*6,10^6,Clinical,,Num,,LOINC
10*6.[CFU]/L,million colony forming unit per liter,Clinical,10*6 CFU/L; 10^6 CFU/L; 10^6CFU; 10^6 CFU per liter; million colony forming units; litre,ACnc,,LOINC
10*6.[IU],million international unit,Clinical,10*6 IU; 10^6 IU; international units,arb,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
10*6/(24.h),million per 24 hour,Clinical,10*6/24hrs; 10^6/24 hrs; 10*6 per 24 hrs; 10^6 per 24 hours,NRat,,LOINC
10*6/kg,million per kilogram,Clinical,10^6/kg; 10*6 per kg; 10*6 per kilogram; millions,NCnt,,LOINC
10*6/L,million per liter,Clinical,10^6/L; 10*6 per Liter; 10^6 per Liter; litre,NCncn,,LOINC
10*6/mL,million per milliliter,Clinical,10^6/mL; 10*6 per mL; 10*6 per milliliter; millilitre,NCncn,,LOINC
10*6/uL,million per microliter,Clinical,10^6/uL; 10^6 per uL; 10^6/mcl; 10^6 per mcl; 10^6 per microliter; microlitre,NCncn,,LOINC
10*8,10^8,Clinical,100 million; one hundred million; 10^8,Num,,LOINC
10*9/L,billion per liter,Clinical,10^9/L; 10*9 per Liter; litre,NCncn,,LOINC
10*9/mL,billion per milliliter,Clinical,10^9/mL; 10*9 per mL; 10^9 per mL; 10*9 per milliliter; millilitre,NCncn,,LOINC
10*9/uL,billion per microliter,Clinical,10^9/uL; 10^9 per uL; 10^9/mcl; 10^9 per mcl; 10*9 per uL; 10*9 per mcl; 10*9/mcl; 10^9 per microliter; microlitre,NCncn,,LOINC
10.L/(min.m2),10 liter per minute per square meter,Clinical,10 liters per minutes per square meter; 10 L per min per m2; m^2; 10 L/(min*m2); 10L/(min*m^2); litres; sq. meter; metre; meters squared,ArVRat,,LOINC
10.L/min,10 liter per minute,Clinical,10 liters per minute; 10 L per min; 10L; 10 L/min; litre,VRat,,LOINC
10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter,Clinical,dyne seconds per centimeter5 and square meter; dyn.s/(cm5.m2); dyn.s/cm5/m2; cm^5; m^2,,unit to measure systemic vascular resistance per body surface area,LOINC
10^,the number ten for arbitrary powers,Clinical,10*; 10 to the arbitrary power,Num,"10* by itself is the same as 10, but users can add digits after the *. For example, 10*3 = 1000.",UCUM
24.h,24 hour,Clinical,24hrs; 24 hrs; 24 hours; days; dy,Time,,LOINC
A,Ampere,Clinical,Amperes,ElpotRat,unit of electric current equal to flow rate of electrons equal to 6.2415×10^18 elementary charges moving past a boundary in one second or 1 Coulomb/second,UCUM
a,year,Clinical,"years; a; yr, yrs; annum",Time,,UCUM
A/m,ampere per meter,Clinical,A/m; amp/meter; magnetic field strength; H; B; amperes per meter; metre,,unit of magnetic field strength,LOINC
a_g,mean Gregorian year,Clinical,mean Gregorian yr; a gregorian; years,Time,has an average of 365.2425 days and is the most internationally used civil calendar.,UCUM
a_j,mean Julian year,Clinical,mean Julian yr; a julian; years,Time,"has an average of 365.25 days, and in everyday use, has been replaced by the Gregorian year. However, this unit is used in astronomy to calculate light year. ",UCUM
a_t,tropical year,Clinical,solar years; a tropical; years,Time,has an average of 365.242181 days but is constantly changing.,UCUM
Ao,Ångström,Clinical,Å; Angstroms; Ao; Ångströms,Len,equal to 10^-10 meters; used to express wave lengths and atom scaled differences ,UCUM
ar,are,Clinical,100 m2; 100 m^2; 100 square meter; meters squared; metres,Area,metric base unit for area defined as 100 m^2,UCUM
atm,standard atmosphere,Clinical,reference pressure; atmos; std atmosphere,Pres,"defined as being precisely equal to 101,325 Pa",UCUM
att,technical atmosphere,Obsolete,at; tech atm; tech atmosphere;  kgf/cm2; atms; atmospheres,Pres,non-SI unit of pressure equal to one kilogram-force per square centimeter,UCUM
AU,astronomic unit,Clinical,AU; units,Len,unit of length used in astronomy for measuring distance in Solar system,UCUM
b,barn,Clinical,barns,Area,used in high-energy physics to express cross-sectional areas,UCUM
B,bel,Clinical,bels,LogRto,Logarithm of the ratio of power- or field-type quantities; usually expressed in decibels ,UCUM
B[10.nV],bel 10 nanovolt,Clinical,bel 10 nV; B 10 nV; 10 nanovolts bels,LogRtoElp,used to express power gain in electrical circuits,UCUM
B[kW],bel kilowatt,Clinical,bel kW; B kW; kilowatt bel; kW bel; kW B,LogRto,used to express power,UCUM
B[mV],bel millivolt,Clinical,bel mV; B mV; millivolt bels; 10^-3V bels; 10*-3V ,LogRtoElp,used to express power gain in electrical circuits,UCUM
B[SPL],bel sound pressure,Clinical,bel SPL; B SPL; sound pressure bels,LogRto,used to measure sound level in acoustics,UCUM
B[uV],bel microvolt,Clinical,bel uV; B uV; microvolts bels; 10^-6V bel; 10*-6V bel,LogRto,used to express power gain in electrical circuits,UCUM
B[V],bel volt,Clinical,bel V; B V; volts bels,LogRtoElp,used to express power gain in electrical circuits,UCUM
B[W],bel watt,Clinical,bel W; b W; b Watt; Watts bels,LogRto,used to express power,UCUM
bar,bar,Nonclinical,bars,Pres,"unit of pressure equal to 10^5 Pascals, primarily used by meteorologists and in weather forecasting",UCUM
Bd,baud,Nonclinical,Bd; bauds,Freq,unit to express rate in symbols per second or pulses per second. ,UCUM
Bi,Biot,Clinical,Bi; abamperes; abA,ElpotRat,equal to 10 amperes,UCUM
bit,bit,Nonclinical,bits,,dimensionless information unit of 1 used in computing and digital communications,UCUM
bit_s,bit - logarithmic,Nonclinical,bit-s; bit s; bit logarithmic,LogA,"defined as the log base 2 of the number of distinct signals; cannot practically be used to express more than 1000 bits

In information theory, the definition of the amount of self-information and information entropy is often expressed with the binary logarithm (log base 2)",UCUM
Bq,becquerel,Clinical,activity; radiation; becquerels,,measure of the atomic radiation rate with units s^-1,UCUM
By,byte,Nonclinical,bytes,,equal to 8 bits,UCUM
C,coulomb,Clinical,coulombs,,"defined as amount of 1 electron charge = 6.2415093×10^18 e, and equivalent to 1 Ampere-second",UCUM
cal,calorie,Clinical,gram calories; small calories,Enrg,"equal to 4.184 joules (the same value as the thermochemical calorie, which is the most common calorie used in medicine and biochemistry)",UCUM
cal_[15],calorie at 15°C,Nonclinical,calorie 15 C; cals 15 C; calories at 15 C,Enrg,equal to 4.1855 joules; calorie most often used in engineering,UCUM
cal_[20],calorie at 20°C,Clinical,calorie 20 C; cal 20 C; calories at 20 C,Enrg,equal to 4.18190  joules. ,UCUM
cal_IT,international table calorie,Nonclinical,calories IT; IT cals; international steam table calories,Enrg,used in engineering steam tables and defined as 1/860 international watt-hour; equal to 4.1868 joules,UCUM
cal_m,mean calorie,Clinical,mean cals; mean calories,Enrg,equal to 4.19002 joules. ,UCUM
cal_th,thermochemical calorie,Clinical,thermochemical calories; th cals,Enrg,equal to 4.184 joules; used as the unit in medicine and biochemistry (equal to cal),UCUM
cd,candela,Clinical,candelas,,SI base unit of luminous intensity,UCUM
Cel,degree Celsius,Clinical,°C; degrees,Temp,,UCUM
cg,centigram,Clinical,centigrams; cg; cgm,Mass,,LOINC
Ci,Curie,Obsolete,curies,,unit for measuring atomic disintegration rate; replaced by the Bequerel (Bq) unit,UCUM
circ,circle - plane angle,Clinical,angles; circles,Angle,,UCUM
cL,centiliter,Clinical,centiliters; centilitres,Vol,,LOINC
cm,centimeter,Clinical,centimeters; centimetres,Len,,LOINC
cm[H2O],centimeter of water,Clinical,cm H2O; cmH2O; centimetres; pressure,Pres,unit of pressure mostly applies to blood pressure,LOINC
cm[H2O]/L/s,centimeter of water per liter per second,Clinical,cm[H2O]/(L/s); cm[H2O].s/L; cm H2O/L/sec; cmH2O/L/sec; cmH2O/Liter; cmH2O per L per secs; centimeters of water per liters per second; centimetres; litres; cm[H2O]/(L/s),PresRat,unit used to measure mean pulmonary resistance,LOINC
cm[H2O]/s/m,centimeter of water per second per meter,Clinical,cm[H2O]/(s.m); cm H2O/s/m; cmH2O; cmH2O/sec/m; cmH2O per secs per meters; centimeters of water per seconds per meter; centimetres; metre,PresRat,unit used to measure pulmonary pressure time product,LOINC
cm[Hg],centimeter of mercury,Clinical,centimeters of mercury; centimetres; cmHg; cm Hg,Pres,unit of pressure where 1 cmHg = 10 torr,LOINC
cm2,square centimeter,Clinical,cm^2; sq cm; centimeters squared; square centimeters; centimetre; area,Area,,LOINC
cm2/s,square centimeter per second,Clinical,cm^2/sec; square centimeters per second; sq cm per sec; cm2; centimeters squared; centimetres,AreaRat,,LOINC
cP,centipoise,Clinical,cps; centiposes,Visc,unit of dynamic viscosity in the CGS system with base units: 10^−3 Pa.s = 1 mPa·.s (1 millipascal second),LOINC
cSt,centistoke,Clinical,centistokes,Visc,unit for kinematic viscosity with base units of mm^2/s (square millimeter per second),LOINC
d,day,Clinical,days; age; dy; 24 hours; 24 hrs,Time,,UCUM
daL/min,dekaliter per minute,Clinical,dekalitres; dekaliters per minute; per min,VRat,,LOINC
daL/min/m2,dekaliter per minute per square meter,Clinical,daL/min/m^2; daL/minute/m2; sq. meter; dekaliters per minutes per square meter; meter squared; dekalitres; metre,ArVRat,The area usually is the body surface area used to normalize cardiovascular measures for patient's size,LOINC
dB,decibel,Clinical,decibels,LogRto,unit most commonly used in acoustics as unit of sound pressure level. (also see B[SPL] or bel sound pressure level). ,LOINC
deg,degree - plane angle,Clinical,°; degree of arc; arc degree; arcdegree; angle,Angle,one degree is equivalent to π/180 radians.,UCUM
deg/s,degree per second,Clinical,deg/sec; deg per sec; °/sec; twist rate; angular speed; rotational speed,ARat,unit of angular (rotational) speed used to express turning rate,LOINC
dg,decigram,Clinical,decigrams; dgm; 0.1 grams; 1/10 gm,Mass,equal to 1/10 gram,LOINC
dL,deciliter,Clinical,deciliters; decilitres; 0.1 liters; 1/10 L,Vol,equal to 1/10 liter,LOINC
dm,decimeter,Clinical,decimeters; decimetres; 0.1 meters; 1/10 m; 10 cm; centimeters,Len,equal to 1/10 meter or 10 centimeters,LOINC
dm2/s2,square decimeter per square second,Clinical,dm2 per s2; dm^2/s^2; decimeters squared per second squared; sq dm; sq sec,EngMass (massic energy),units for energy per unit mass or Joules per kilogram (J/kg = kg.m2/s2/kg = m2/s2) ,LOINC
dyn,dyne,Clinical,dynes,Force,unit of force equal to 10^-5 Newtons,UCUM
dyn.s/(cm.m2),dyne second per centimeter per square meter,Clinical,(dyn*s)/(cm*m2); (dyn*s)/(cm*m^2); dyn s per cm per m2; m^2; dyne seconds per centimeters per square meter; centimetres; sq. meter; squared,,,LOINC
dyn.s/cm,dyne second per centimeter,Clinical,(dyn*s)/cm; dyn sec per cm; seconds; centimetre; dyne seconds,,,LOINC
eq,equivalent,Clinical,equivalents,Sub,equivalence equals moles per valence,UCUM
eq/L,equivalent per liter,Clinical,eq/liter; eq/litre; eqs; equivalents per liter; litre,SCnc,equivalence equals moles per valence,LOINC
eq/mL,equivalent per milliliter,Clinical,equivalent/milliliter; equivalents per milliliter; eq per mL; millilitre,SCnc,equivalence equals moles per valence,LOINC
eq/mmol,equivalent per millimole,Clinical,equivalent/millimole; equivalents per millimole; eq per mmol,SRto,equivalence equals moles per valence,LOINC
eq/umol,equivalent per micromole,Clinical,equivalent/micromole; equivalents per micromole; eq per umol,SRto,equivalence equals moles per valence,LOINC
erg,erg,Clinical,"10^-7 Joules, 10-7 Joules; 100 nJ; 100 nanoJoules; 1 dyne cm; 1 g.cm2/s2",Eng,unit of energy = 1 dyne centimeter = 10^-7 Joules,UCUM
eV,electronvolt,Clinical,Electron Volts; electronvolts,Eng,unit of kinetic energy = 1 V * 1.602×10^−19 C = 1.6×10−19 Joules,UCUM
F,farad,Clinical,farads; electric capacitance,,CGS unit of electric capacitance with base units C/V (Coulomb per Volt),UCUM
fg,femtogram,Clinical,fg; fgm; femtograms; weight,Mass,equal to 10^-15 grams,LOINC
fL,femtoliter,Clinical,femtolitres; femtoliters,Vol; EntVol,equal to 10^-15 liters,LOINC
fm,femtometer,Clinical,femtometres; femtometers,Len,equal to 10^-15 meters,LOINC
fmol,femtomole,Clinical,femtomoles,EntSub,equal to 10^-15 moles,LOINC
fmol/g,femtomole per gram,Clinical,femtomoles; fmol/gm; fmol per gm,SCnt,,LOINC
fmol/L,femtomole per liter,Clinical,femtomoles; fmol per liter; litre,SCnc,,LOINC
fmol/mg,femtomole per milligram,Clinical,fmol per mg; femtomoles,SCnt,,LOINC
fmol/mL,femtomole per milliliter,Clinical,femtomoles; millilitre; fmol per mL; fmol per milliliter,SCnc,,LOINC
g,gram,Clinical,grams; gm,Mass,,UCUM
G,Gauss,Clinical,magnetic fields; magnetic flux density; induction; B,magnetic,"CGS unit of magnetic flux density, known as magnetic field B; defined as one maxwell unit per square centimeter (see Oersted for CGS unit for H field)",UCUM
g%,gram percent,Clinical,gram %; gram%; grams per deciliter; g/dL; gm per dL; gram percents,MCnc,"equivalent to unit gram per deciliter (g/dL), a unit often used in medical tests to represent solution concentrations",UCUM
g.m,gram meter,Clinical,g*m; gxm; meters; metres,Enrg,Unit for measuring stroke work (heart work),LOINC
g/(100.g),gram per 100 gram,Clinical,g/100 gm; 100gm; grams per 100 grams; gm per 100 gm,MCnt,,LOINC
g/(12.h),gram per 12 hour,Clinical,gm/12hrs; 12 hrs; gm per 12 hrs; 12hrs; grams per 12 hours,MRat,,LOINC
g/(24.h),gram per 24 hour,Clinical,gm/24hrs; gm/24 hrs; gm per 24 hrs; 24hrs; grams per 24 hours; gm/dy; gm per dy; grams per day,MRat,,LOINC
g/(3.d),gram per 3 days,Clinical,gm/3dy; gm/3 dy; gm per 3 days; grams,MRat,,LOINC
g/(4.h),gram per 4 hour,Clinical,gm/4hrs; gm/4 hrs; gm per 4 hrs; 4hrs; grams per 4 hours,MRat,,LOINC
g/(48.h),gram per 48 hour,Clinical,gm/48hrs; gm/48 hrs; gm per 48 hrs; 48hrs; grams per 48 hours,MRat,,LOINC
g/(5.h),gram per 5 hour,Clinical,gm/5hrs; gm/5 hrs; gm per 5 hrs; 5hrs; grams per 5 hours,MRat,,LOINC
g/(6.h),gram per 6 hour,Clinical,gm/6hrs; gm/6 hrs; gm per 6 hrs; 6hrs; grams per 6 hours,MRat,,LOINC
g/(72.h),gram per 72 hour,Clinical,gm/72hrs; gm/72 hrs; gm per 72 hrs; 72hrs; grams per 72 hours,MRat,,LOINC
g/cm3,gram per cubic centimeter,Clinical,g/cm^3; gm per cm3; g per cm^3; grams per centimeter cubed; cu. cm; centimetre; g/mL; gram per milliliter; millilitre,MCnc,g/cm3 = g/mL,LOINC
g/d,gram per day,Clinical,gm/dy; gm per dy; grams per day; gm/24hrs; gm/24 hrs; gm per 24 hrs; 24hrs; grams per 24 hours; serving,MRat,,LOINC
g/dL,gram per deciliter,Clinical,gm/dL; gm per dL; grams per deciliter; decilitre,MCnc,,LOINC
g/g,gram per gram,Clinical,gm; grams,MRto ,,LOINC
g/h,gram per hour,Clinical,gm/hr; gm per hr; grams; intake; output,MRat,,LOINC
g/h/m2,gram per hour per square meter,Clinical,gm/hr/m2; gm/h/m2; /m^2; sq. m; g per hr per m2; grams per hours per square meter; meter squared; metre,ArMRat,,LOINC
g/kg ,gram per kilogram,Clinical,g per kg; gram per kilograms,MCnt,,LOINC
g/kg/(8.h),gram per kilogram per 8 hour ,Clinical,g/(8.kg.h); gm/kg/8hrs; 8 hrs; g per kg per 8 hrs; 8hrs; grams per kilograms per 8 hours; shift,MCntRat; RelMRat,"unit often used to describe mass in grams of protein consumed in a 8 hours, divided by the subject's body weight in kilograms. Also used to measure mass dose rate per body mass",LOINC
g/kg/d,gram per kilogram per day,Clinical,g/(kg.d); gm/kg/dy; gm per kg per dy; grams per kilograms per day,RelMRat,"unit often used to describe mass in grams of protein consumed in a day, divided by the subject's body weight in kilograms. Also used to measure mass dose rate per body mass",LOINC
g/kg/h,gram per kilogram per hour,Clinical,g/(kg.h); g/kg/hr; g per kg per hrs; grams per kilograms per hour,MCntRat; RelMRat,unit used to measure mass dose rate per body mass,LOINC
g/kg/min,gram per kilogram per minute,Clinical,g/(kg.min); g/kg/min; g per kg per min; grams per kilograms per minute,MCntRat; RelMRat,unit used to measure mass dose rate per body mass,LOINC
g/L,gram per liter,Clinical,gm per liter; g/liter; grams per liter; litre,MCnc,,LOINC
g/m2,gram per square meter,Clinical,g/m^2; gram/square meter; g/sq m; g per m2; g per m^2; grams per square meter; meters squared; metre,ArMass,Tests measure myocardial mass (heart ventricle system) per body surface area; unit used to measure mass dose per body surface area,LOINC
g/mg,gram per milligram,Clinical,g per mg; grams per milligram,MCnt; MRto,,LOINC
g/min,gram per minute,Clinical,g per min; grams per minute; gram/minute,MRat,,LOINC
g/mL,gram per milliliter,Clinical,g per mL; grams per milliliter; millilitre,MCnc,,LOINC
g/mmol,gram per millimole,Clinical,grams per millimole; g per mmol,Ratio,,LOINC
Gal,Gal,Clinical,galileos; Gals,Accel,unit of acceleration used in gravimetry; equivalent to cm/s2 ,UCUM
Gb,Gilbert,Clinical,Gi; magnetomotive force; Gilberts,,unit of magnetomotive force (magnetic potential),UCUM
gf,gram-force,Clinical,Newtons; gram forces,Force,May be specific to unit related to cardiac output,UCUM
gon,gon,Nonclinical,gon (grade); gons,Angle,unit of plane angle measurement equal to 1/400 circle,UCUM
Gy,gray,Clinical,absorbed doses; ionizing radiation doses; kerma; grays,EngCnt,unit of ionizing radiation dose with base units of 1 joule of radiation energy per kilogram of matter,UCUM
H,henry,Clinical,henries; inductance,,unit of electrical inductance; usually expressed in millihenrys (mH) or microhenrys (uH).,UCUM
h,hour,Clinical,hours; hrs; age,Time,,UCUM
Hz,hertz,Clinical,Herz; frequency; frequencies,Freq; Num,equal to one cycle per second,UCUM
J,joule,Clinical,joules,Enrg,"unit of energy defined as the work required to move an object 1 m with a force of 1 N (N.m) or an electric charge of 1 C through 1 V (C.V), or to produce 1 W for 1 s (W.s) ",UCUM
J/L,joule per liter,Clinical,joules per liter; litre; J per L,EngCnc,,LOINC
K,degree Kelvin,Clinical,Kelvin; degrees,Temp,"absolute, thermodynamic temperature scale ",LOINC
K/W,degree Kelvin per Watt,Clinical,degree Kelvin/Watt; K per W; thermal ohm; thermal resistance; degrees,TempEngRat,unit for absolute thermal resistance equal to the reciprocal of thermal conductance. Unit used for tests to measure work of breathing,LOINC
k[IU]/L,kilo international unit per liter,Clinical,kIU/L; kIU per L; kIU per liter; kilo international units; litre; allergens; allergy units,ACnc,IgE has an WHO reference standard so IgE allergen testing can be reported as k[IU]/L,LOINC
k[IU]/mL,kilo international unit per milliliter,Clinical,kIU/mL; kIU per mL; kIU per milliliter; kilo international units; millilitre; allergens; allergy units,ACnc,IgE has an WHO reference standard so IgE allergen testing can be reported as k[IU]/mL,LOINC
kat,katal,Clinical,mol/secs; moles per second; mol*sec-1; mol*s-1; mol.s-1; katals; catalytic activity; enzymatic; enzyme units; activities,CAct,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,UCUM
kat/kg,katal per kilogram,Clinical,kat per kg; katals per kilogram; mol/s/kg; moles per seconds per kilogram,CCnt,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,LOINC
kat/L,katal per liter,Clinical,kat per L; katals per liter; litre; mol/s/L; moles per seconds per liter,CCnc,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,LOINC
kcal,kilocalorie,Clinical,kilogram calories; large calories; food calories; kcals,EngRat,"It is equal to 1000 calories (equal to 4.184 kJ). But in practical usage, kcal refers to food calories which excludes caloric content in fiber and other constitutes that is not digestible by humans. Also see nutrition label Calories ([Cal])",LOINC
kcal/(24.h),kilocalorie per 24 hour,Clinical,kcal/24hrs; kcal/24 hrs; kcal per 24hrs; kilocalories per 24 hours; kilojoules; kJ/24hr; kJ/(24.h); kJ/dy; kilojoules per days; intake; calories burned; metabolic rate; food calories,EngRat,,
kcal/[oz_av],kilocalorie per ounce,Clinical,kcal/oz; kcal per ozs; large calories per ounces; food calories; servings; international,EngCnt,used in nutrition to represent calorie of food,LOINC
kcal/d,kilocalorie per day,Clinical,kcal/dy; kcal per day; kilocalories per days; kilojoules; kJ/dy; kilojoules per days; intake; calories burned; metabolic rate; food calories,EngRat,unit in nutrition for food intake (measured in calories) in a day,LOINC
kcal/h,kilocalorie per hour,Clinical,kcal/hrs; kcals per hr; intake; kilocalories per hours; kilojoules,EngRat,used in nutrition to represent caloric requirement or consumption,LOINC
